path	disposition	evidence_path	evidence_label	rationale
src/renderer/ui/outliner/ReferenceSelector.tsx	stronger-current	tests/renderer/rowInteractions.test.ts	reference admission excludes date shortcuts and private Composer file-node identities	Stable popover selection remains; synthetic date and private IDs are deliberately excluded by the later canonical public-reference admission boundary.
src/renderer/ui/outliner/TriggerPopover.tsx	equivalent-current	tests/renderer/popoverSelection.test.tsx	resets a same-length replacement list and scrolls its first item before paint	Suggestion identity still resets and scrolls selection before paint; the removed date key follows the public-reference admission decision.
src/renderer/ui/outliner/optimisticStructuralEdit.ts	stronger-current	tests/renderer/optimisticStructuralEdit.test.ts	stays pending until its real command settlement is bound	The shared settlement primitive remains and now records draft origin and trailing-marker retention explicitly.
tests/core/outlineRuntimeProcess.test.ts	stronger-current	tests/core/outlineRuntimeProcess.test.ts	replaces a same-contract Runtime left by a previous development session	All four development-session cases remain and current process coverage adds lifecycle, accepted-settlement, ContentStore, and contract boundaries.
tests/e2e/outliner-bullet-parity.spec.ts	equivalent-current	tests/e2e/outliner-bullet-parity.spec.ts	field label keeps first-line alignment when the value contains multiple rows	The visual assertion follows the maintained flat-flow DOM while preserving the same field alignment responsibility.
tests/e2e/outliner-row-editing.spec.ts	stronger-current	tests/e2e/outliner-row-editing.spec.ts	Enter in the middle immediately shows the split head and keeps it after settlement	The recovered first-frame, authoritative settlement, and editor-identity assertions remain.
tests/e2e/outliner-selection-keyboard.spec.ts	stronger-current	tests/e2e/outliner-selection-keyboard.spec.ts	ArrowRight converts a selected reference row to an unchanged inline reference and blur restores it	The historical shortcut remains and current assertions additionally freeze stable replacement IDs and optimistic projection isolation.
tests/e2e/outliner-triggers.spec.ts	stronger-current	tests/e2e/outliner-triggers.spec.ts	/field switches a trailing draft to the shared field transaction before Runtime settles	Trigger, field, option, reference, and semantic conversion coverage retains the original assertions and adds first-frame settlement checks.
tests/e2e/outlinerMock.ts	stronger-current	tests/e2e/outliner-row-editing.spec.ts	Enter in the middle immediately shows the split head and keeps it after settlement	The mock retains stable replacement IDs and direct commit support, and its mutation gate proves both optimistic and authoritative frames deterministically.
tests/e2e/table-view.spec.ts	stronger-current	tests/e2e/table-view.spec.ts	moves to the next table title before the current text patch settles	The maintained test retains table field behavior and adds navigation-before-settlement coverage.
tests/renderer/reduceProjection.test.ts	equivalent-current	tests/renderer/reduceProjection.test.ts	prunes removed focus, selection, expansion, and deferred state at the delta boundary	The deleted pending-reference-typeahead assertion reflects its explicit replacement by local optimistic state; the remaining projection cleanup assertions are unchanged.
tests/renderer/trailingDraftPlacement.test.ts	stronger-current	tests/renderer/trailingDraftPlacement.test.ts	suppresses relocation sources for both cross-parent and same-parent moves	Every original placement assertion remains and current coverage also distinguishes materializing trailing rows from projected optimistic overrides.
